Nr;Titel;Jahr;Regissure;Hauptdarsteller;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;Zuschauerzahlen;YT-Link;App-Link;App-Link_Video-1;App-Link_Video-2;App-Link_Video-3;QR-Cod Pfad;;;;;;
001;Avatar;2009;James Cameron;Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez;Nein;7,9;Dune Entertainment;Action, Abenteuer, Fantasy, Science Fiction;$2,923,706,026;;https://www.youtube.com/watch?v=5PSNL1qE6VY;filmster://result?id=001;https://filmster-stream.b-cdn.net/videos/Filmster_001_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_001_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_001_Video-3.mp4;qr_codes/Filmster_001_QR.png;;;;;;
002;Titanic;1997;James Cameron;Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher;Nein;7,9;Paramount Pictures;Drama, Liebesfilm;$2,264,162,353;;https://www.youtube.com/watch?v=CHekzSiZjrY;filmster://result?id=002;https://filmster-stream.b-cdn.net/videos/Filmster_002_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_002_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_002_Video-3.mp4;qr_codes/Filmster_002_QR.png;;;;;;
003;Avengers: Endgame;2019;Anthony Russo;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson;Ja;8,4;Marvel Studios;Abenteuer, Science Fiction, Action;$2,799,439,100;;https://www.youtube.com/watch?v=TcMBFSGVi1c;filmster://result?id=003;https://filmster-stream.b-cdn.net/videos/Filmster_003_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_003_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_003_Video-3.mp4;qr_codes/Filmster_003_QR.png;;;;;;
004;Star Wars: Episode VII , The Force Awakens;2015;J.J. Abrams;Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley;Nein;7,8;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$2,068,223,624;;https://www.youtube.com/watch?v=sGbxmsDFVnE;filmster://result?id=004;https://filmster-stream.b-cdn.net/videos/Filmster_004_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_004_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_004_Video-3.mp4;qr_codes/Filmster_004_QR.png;;;;;;
005;Jurassic Park;1993;Steven Spielberg;Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck;Ja;8,2;Universal Pictures;Abenteuer, Science Fiction;$920,100,000;;https://www.youtube.com/watch?v=QWBKEmWWL38;filmster://result?id=005;https://filmster-stream.b-cdn.net/videos/Filmster_005_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_005_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_005_Video-3.mp4;qr_codes/Filmster_005_QR.png;;;;;;
006;The Lion King;1994;Roger Allers;Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, James Earl Jones;Ja;8,5;Walt Disney Pictures;Familie, Animation, Drama;$763,455,561;;https://www.youtube.com/watch?v=lFzVJEksoDY;filmster://result?id=006;https://filmster-stream.b-cdn.net/videos/Filmster_006_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_006_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_006_Video-3.mp4;qr_codes/Filmster_006_QR.png;;;;;;
007;Harry Potter and the Sorcerer's Stone;2001;Chris Columbus;Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton;Nein;7,7;Warner Bros. Pictures;Abenteuer, Fantasy;$976,475,550;;https://www.youtube.com/watch?v=VyHV0BRtdxo;filmster://result?id=007;https://filmster-stream.b-cdn.net/videos/Filmster_007_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_007_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_007_Video-3.mp4;qr_codes/Filmster_007_QR.png;;;;;;
008;The Lord of the Rings: The Return of the King;2003;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis;Ja;9;New Line Cinema;Abenteuer, Fantasy, Action;$1,118,888,979;;https://www.youtube.com/watch?v=r5X-hFf6Bwo;filmster://result?id=008;https://filmster-stream.b-cdn.net/videos/Filmster_008_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_008_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_008_Video-3.mp4;qr_codes/Filmster_008_QR.png;;;;;;
009;Frozen;2013;Chris Buck;Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Livvy Stubenrauch;Nein;7,4;Walt Disney Pictures;Animation, Familie, Abenteuer, Fantasy;$1,274,219,009;;https://www.youtube.com/watch?v=TbQm5doF_Uc;filmster://result?id=009;https://filmster-stream.b-cdn.net/videos/Filmster_009_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_009_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_009_Video-3.mp4;qr_codes/Filmster_009_QR.png;;;;;;
010;E.T. the Extra-Terrestrial;1982;Steven Spielberg;Henry Thomas, Drew Barrymore, Robert MacNaughton, Peter Coyote, Dee Wallace;Nein;7,9;Universal Pictures;Science Fiction, Abenteuer, Familie, Fantasy;$792,965,500;;https://www.youtube.com/watch?v=qYAETtIIClk;filmster://result?id=010;https://filmster-stream.b-cdn.net/videos/Filmster_010_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_010_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_010_Video-3.mp4;qr_codes/Filmster_010_QR.png;;;;;;
011;Spider-Man: No Way Home;2021;Jon Watts;Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau;Ja;8,2;Marvel Studios;Action, Abenteuer, Science Fiction;$1,921,847,111;;https://www.youtube.com/watch?v=JfVOs4VSpmA;filmster://result?id=011;https://filmster-stream.b-cdn.net/videos/Filmster_011_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_011_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_011_Video-3.mp4;qr_codes/Filmster_011_QR.png;;;;;;
012;The Dark Knight;2008;Christopher Nolan;Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal;Ja;9;Warner Bros. Pictures;Drama, Action, Krimi, Thriller;$1,004,558,444;;https://www.youtube.com/watch?v=EXeTwQWrcwY;filmster://result?id=012;https://filmster-stream.b-cdn.net/videos/Filmster_012_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_012_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_012_Video-3.mp4;qr_codes/Filmster_012_QR.png;;;;;;
013;Independence Day;1996;Roland Emmerich;Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch;Nein;7;20th Century Fox;Action, Abenteuer, Science Fiction;$817,400,891;;https://www.youtube.com/watch?v=B1E7h3SeMDk;filmster://result?id=013;https://filmster-stream.b-cdn.net/videos/Filmster_013_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_013_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_013_Video-3.mp4;qr_codes/Filmster_013_QR.png;;;;;;
014;Inception;2010;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page;Ja;8,8;Legendary Pictures;Action, Science Fiction, Abenteuer;$839,030,630;;https://www.youtube.com/watch?v=YoHD9XEInc0;filmster://result?id=014;https://filmster-stream.b-cdn.net/videos/Filmster_014_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_014_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_014_Video-3.mp4;qr_codes/Filmster_014_QR.png;;;;;;
015;Finding Nemo;2003;Andrew Stanton;Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush;Ja;8,2;Pixar;Animation, Familie;$940,335,536;;https://www.youtube.com/watch?v=9oQ628Seb9w;filmster://result?id=015;https://filmster-stream.b-cdn.net/videos/Filmster_015_Video-1.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_015_Video-2.mp4;https://filmster-stream.b-cdn.net/videos/Filmster_015_Video-3.mp4;qr_codes/Filmster_015_QR.png;;;;;;
