Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
001;Avatar;Avatar - Aufbruch nach Pandora;2009;James Cameron;Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez;USA, UK;Nein;7,9;Dune Entertainment;Action, Abenteuer, Fantasy, Science Fiction;$2,923,706,026;https://www.youtube.com/watch?v=5PSNL1qE6VY;https://www.youtube.com/watch?v=EYHuoBjmQQg;filmster://result?id=001;https://filmster.b-cdn.net/001/Filmster_001_DE_Video-1.mp4;https://filmster.b-cdn.net/001/Filmster_001_EN_Video-1.mp4;https://filmster.b-cdn.net/001/Filmster_001_DE_Video-2.mp4;https://filmster.b-cdn.net/001/Filmster_001_EN_Video-2.mp4;https://filmster.b-cdn.net/001/Filmster_001_DE_Video-3.mp4;https://filmster.b-cdn.net/001/Filmster_001_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_001_QR.png
002;Titanic;Titanic;1997;James Cameron;Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher;USA;Nein;7,9;Paramount Pictures;Drama, Liebesfilm;$2,264,162,353;https://www.youtube.com/watch?v=CHekzSiZjrY;https://www.youtube.com/watch?v=Zkk0pda7dOY;filmster://result?id=002;https://filmster.b-cdn.net/002/Filmster_002_DE_Video-1.mp4;https://filmster.b-cdn.net/002/Filmster_002_EN_Video-1.mp4;https://filmster.b-cdn.net/002/Filmster_002_DE_Video-2.mp4;https://filmster.b-cdn.net/002/Filmster_002_EN_Video-2.mp4;https://filmster.b-cdn.net/002/Filmster_002_DE_Video-3.mp4;https://filmster.b-cdn.net/002/Filmster_002_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_002_QR.png
003;Avengers: Endgame;Avengers: Endgame;2019;Anthony Russo;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson;USA;Ja;8,4;Marvel Studios;Abenteuer, Science Fiction, Action;$2,799,439,100;https://www.youtube.com/watch?v=TcMBFSGVi1c;https://www.youtube.com/watch?v=EJJedP2_7_k;filmster://result?id=003;https://filmster.b-cdn.net/003/Filmster_003_DE_Video-1.mp4;https://filmster.b-cdn.net/003/Filmster_003_EN_Video-1.mp4;https://filmster.b-cdn.net/003/Filmster_003_DE_Video-2.mp4;https://filmster.b-cdn.net/003/Filmster_003_EN_Video-2.mp4;https://filmster.b-cdn.net/003/Filmster_003_DE_Video-3.mp4;https://filmster.b-cdn.net/003/Filmster_003_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_003_QR.png
004;Star Wars: Episode VII , The Force Awakens;Star Wars: Das Erwachen der Macht;2015;J.J. Abrams;Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley;USA, UK;Nein;7,8;Lucasfilm Ltd.;Abenteuer, Action, Science Fiction;$2,068,223,624;https://www.youtube.com/watch?v=sGbxmsDFVnE;https://www.youtube.com/watch?v=1pUXILfY0rg;filmster://result?id=004;https://filmster.b-cdn.net/004/Filmster_004_DE_Video-1.mp4;https://filmster.b-cdn.net/004/Filmster_004_EN_Video-1.mp4;https://filmster.b-cdn.net/004/Filmster_004_DE_Video-2.mp4;https://filmster.b-cdn.net/004/Filmster_004_EN_Video-2.mp4;https://filmster.b-cdn.net/004/Filmster_004_DE_Video-3.mp4;https://filmster.b-cdn.net/004/Filmster_004_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_004_QR.png
005;Jurassic Park;Jurassic Park;1993;Steven Spielberg;Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck;USA;Ja;8,2;Universal Pictures;Abenteuer, Science Fiction;$920,100,000;https://www.youtube.com/watch?v=_jKEqDKpJLw;https://www.youtube.com/watch?v=cjw0LgY7ylk;filmster://result?id=005;https://filmster.b-cdn.net/005/Filmster_005_DE_Video-1.mp4;https://filmster.b-cdn.net/005/Filmster_005_EN_Video-1.mp4;https://filmster.b-cdn.net/005/Filmster_005_DE_Video-2.mp4;;https://filmster.b-cdn.net/005/Filmster_005_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_005_QR.png
006;The Lion King;Der König der Löwen;1994;Roger Allers;Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, James Earl Jones;USA;Ja;8,5;Walt Disney Pictures;Familie, Animation, Drama;$763,455,561;https://www.youtube.com/watch?v=lFzVJEksoDY;https://www.youtube.com/watch?v=KJjqKPefJDg;filmster://result?id=006;https://filmster.b-cdn.net/006/Filmster_006_DE_Video-1.mp4;https://filmster.b-cdn.net/006/Filmster_006_EN_Video-1.mp4;https://filmster.b-cdn.net/006/Filmster_006_DE_Video-2.mp4;https://filmster.b-cdn.net/006/Filmster_006_EN_Video-2.mp4;;https://filmster.b-cdn.net/006/Filmster_006_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_006_QR.png
007;Harry Potter and the Sorcerer's Stone;Harry Potter und der Stein der Weisen;2001;Chris Columbus;Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton;UK, USA;Nein;7,7;Warner Bros. Pictures;Abenteuer, Fantasy;$976,475,550;https://www.youtube.com/watch?v=VyHV0BRtdxo;https://www.youtube.com/watch?v=vAKb6OySiks;filmster://result?id=007;https://filmster.b-cdn.net/007/Filmster_007_DE_Video-1.mp4;https://filmster.b-cdn.net/007/Filmster_007_EN_Video-1.mp4;https://filmster.b-cdn.net/007/Filmster_007_DE_Video-2.mp4;https://filmster.b-cdn.net/007/Filmster_007_EN_Video-2.mp4;https://filmster.b-cdn.net/007/Filmster_007_DE_Video-3.mp4;https://filmster.b-cdn.net/007/Filmster_007_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_007_QR.png
008;The Lord of the Rings: The Return of the King;Der Herr der Ringe - Die Rückkehr des Königs;2003;Peter Jackson;Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis;New Zealand, USA;Ja;9;New Line Cinema;Abenteuer, Fantasy, Action;$1,118,888,979;https://www.youtube.com/watch?v=r5X-hFf6Bwo;https://www.youtube.com/watch?v=p6IjSLFExiw;filmster://result?id=008;https://filmster.b-cdn.net/008/Filmster_008_DE_Video-1.mp4;https://filmster.b-cdn.net/008/Filmster_008_EN_Video-1.mp4;https://filmster.b-cdn.net/008/Filmster_008_DE_Video-2.mp4;https://filmster.b-cdn.net/008/Filmster_008_EN_Video-2.mp4;https://filmster.b-cdn.net/008/Filmster_008_DE_Video-3.mp4;https://filmster.b-cdn.net/008/Filmster_008_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_008_QR.png
009;Frozen;Die Eiskönigin - Völlig unverfroren;2013;Chris Buck;Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Livvy Stubenrauch;USA;Nein;7,4;Walt Disney Pictures;Animation, Familie, Abenteuer, Fantasy;$1,274,219,009;https://www.youtube.com/watch?v=TbQm5doF_Uc;https://www.youtube.com/watch?v=xQxBqo_kRWE;filmster://result?id=009;https://filmster.b-cdn.net/009/Filmster_009_DE_Video-1.mp4;https://filmster.b-cdn.net/009/Filmster_009_EN_Video-1.mp4;https://filmster.b-cdn.net/009/Filmster_009_DE_Video-2.mp4;https://filmster.b-cdn.net/009/Filmster_009_EN_Video-2.mp4;https://filmster.b-cdn.net/009/Filmster_009_DE_Video-3.mp4;https://filmster.b-cdn.net/009/Filmster_009_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_009_QR.png
010;E.T. the Extra-Terrestrial;E.T. - Der Ausserirdische;1982;Steven Spielberg;Henry Thomas, Drew Barrymore, Robert MacNaughton, Peter Coyote, Dee Wallace;USA;Nein;7,9;Universal Pictures;Science Fiction, Abenteuer, Familie, Fantasy;$792,965,500;https://www.youtube.com/watch?v=qYAETtIIClk;https://www.youtube.com/watch?v=dF6dxndHco4;filmster://result?id=010;https://filmster.b-cdn.net/010/Filmster_010_DE_Video-1.mp4;https://filmster.b-cdn.net/010/Filmster_010_EN_Video-1.mp4;https://filmster.b-cdn.net/010/Filmster_010_DE_Video-2.mp4;https://filmster.b-cdn.net/010/Filmster_010_EN_Video-2.mp4;https://filmster.b-cdn.net/010/Filmster_010_DE_Video-3.mp4;https://filmster.b-cdn.net/010/Filmster_010_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_010_QR.png
