Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad;Schwierigkeit;KulturelleRelevanz;SchwierigkeitManuell
001;A Walk to Remember;Nur mit Dir;2002;Adam Shankman;Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German;USA;Nein;7,3;Gaylord Films;Drama, Liebesfilm;$47,494,916;https://www.youtube.com/watch?v=NmJnpljD5cQ;https://www.youtube.com/watch?v=iCAbq_estmg;;https://filmster.b-cdn.net/Filmster_Filme-V5/001/Filmster_001_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/001/Filmster_001_EN_Video-1.mp4;;https://filmster.b-cdn.net/Filmster_Filme-V5/001/Filmster_001_EN_Video-2.mp4;;;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_001_QR_transparent.png?t=1774968047625.9297;5;2;false
002;Bad Boys: Ride or Die;Bad Boys: Ride or Die;2024;Adil El Arbi;Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Nuñez;USA;Nein;6,5;Westbrook;Action, Komedie, Krimi, Thriller, Abenteuer;$404,547,819;https://www.youtube.com/watch?v=hRFY_Fesa9Q;https://www.youtube.com/watch?v=t9bxeHmTMh4;;https://filmster.b-cdn.net/Filmster_Filme-V5/002/Filmster_002_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/002/Filmster_002_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/002/Filmster_002_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/002/Filmster_002_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/002/Filmster_002_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/002/Filmster_002_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_002_QR_transparent.png?t=1774968047734.1543;2;2;false
003;The Secret Garden;Der geheime Garten;1993;Agnieszka Holland;Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith, Irène Jacob;USA;Nein;7,3;Warner Bros. Pictures;Drama, Familie, Fantasy;$40,000,000;https://www.youtube.com/watch?v=1zeqqhA5Z3A;https://www.youtube.com/watch?v=1zeqqhA5Z3A;;https://filmster.b-cdn.net/Filmster_Filme-V5/003/Filmster_003_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/003/Filmster_003_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/003/Filmster_003_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/003/Filmster_003_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/003/Filmster_003_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/003/Filmster_003_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_003_QR_transparent.png?t=1774968047836.0623;5;3;false
004;Throne of Blood;Das Schloss im Spinnwebwald;1957;Akira Kurosawa;Toshirô Mifune, Minoru Chiaki, Isuzu Yamada;Japan;Nein;8;TOHO;Drama, History;$13,422;https://www.youtube.com/watch?v=LY7ETIO1KB8;https://www.youtube.com/watch?v=LY7ETIO1KB8;;https://filmster.b-cdn.net/Filmster_Filme-V5/004/Filmster_004_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/004/Filmster_004_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/004/Filmster_004_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/004/Filmster_004_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/004/Filmster_004_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/004/Filmster_004_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_004_QR_transparent.png?t=1774968047917.501;5;4;false
005;The Hidden Fortress;Die verborgene Festung;1958;Akira Kurosawa;Toshirô Mifune, Misa Uehara, Minoru Chiaki;Japan;Nein;8;TOHO;Drama, Action, Adventure;$57,673;https://www.youtube.com/watch?v=63c8g9j1uKs;https://www.youtube.com/watch?v=63c8g9j1uKs;;https://filmster.b-cdn.net/Filmster_Filme-V5/005/Filmster_005_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/005/Filmster_005_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/005/Filmster_005_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/005/Filmster_005_EN_Video-2.mp4;;;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_005_QR_transparent.png?t=1774968048000.1433;5;4;false
006;Thor: The Dark World;Thor - The Dark Kingdom;2013;Alan Taylor;Chris Hemsworth, Natalie Portman, Tom Hiddleston, Christopher Eccleston, Anthony Hopkins;USA, Iceland;Nein;6,7;Marvel Studios;Action, Abenteuer, Fantasy;$644,783,140;https://www.youtube.com/watch?v=npvJ9FTgZbM;https://www.youtube.com/watch?v=Gb8TATMtn5Y;;https://filmster.b-cdn.net/Filmster_Filme-V5/006/Filmster_006_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/006/Filmster_006_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/006/Filmster_006_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/006/Filmster_006_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/006/Filmster_006_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/006/Filmster_006_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_006_QR_transparent.png?t=1774968048090.8777;1;4;false
007;The Revenant;The Revenant - Der Rückkehrer;2015;Alejandro González Iñárritu;Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck;USA, Hong Kong, Taiwan, Argentina;Nein;8;Monarchy Enterprises S.a.r.l.;Western, Drama, Abenteuer;$532,950,503;https://www.youtube.com/watch?v=LoebZZ8K5N0;https://www.youtube.com/watch?v=ok5b_1Z_MwI;;https://filmster.b-cdn.net/Filmster_Filme-V5/007/Filmster_007_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/007/Filmster_007_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/007/Filmster_007_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/007/Filmster_007_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/007/Filmster_007_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/007/Filmster_007_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_007_QR_transparent.png?t=1774968048211.6968;2;4;true
008;Birdman;Birdman oder (Die unverhoffte Macht der Ahnungslosigkeit);2014;Alejandro González Iñárritu;Michael Keaton, Emma Stone, Zach Galifianakis, Edward Norton, Andrea Riseborough;UK;Nein;5,1;TSG Entertainment;Drama, Komedie;$103,215,094;https://www.youtube.com/watch?v=uJfLoE6hanc;https://www.youtube.com/watch?v=0XA4VsdR08c;;https://filmster.b-cdn.net/Filmster_Filme-V5/008/Filmster_008_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/008/Filmster_008_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/008/Filmster_008_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/008/Filmster_008_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/008/Filmster_008_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/008/Filmster_008_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_008_QR_transparent.png?t=1774968049015.9976;4;4;true
009;Ex Machina;Ex Machina;2015;Alex Garland;Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Corey Johnson;USA;Nein;7,1;DNA Films;Drama, Science Fiction;$36,869,414;https://www.youtube.com/watch?v=EoQuVnKhxaM;https://www.youtube.com/watch?v=WR46DcBXIp8;;https://filmster.b-cdn.net/Filmster_Filme-V5/009/Filmster_009_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/009/Filmster_009_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/009/Filmster_009_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/009/Filmster_009_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/009/Filmster_009_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/009/Filmster_009_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_009_QR_transparent.png?t=1774968049131.5251;5;3;false
010;Civil War;Civil War;2024;Alex Garland;Kirsten Dunst, Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, 李志傑;USA, UK, Finland;Nein;7;DNA Films;Kriegsfilm, Action, Drama;$126,542,249;https://www.youtube.com/watch?v=aDyQxtg0V2w;https://www.youtube.com/watch?v=kjdYkBpsijE;;https://filmster.b-cdn.net/Filmster_Filme-V5/010/Filmster_010_DE_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/010/Filmster_010_EN_Video-1.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/010/Filmster_010_DE_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/010/Filmster_010_EN_Video-2.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/010/Filmster_010_DE_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/010/Filmster_010_EN_Video-3.mp4;https://filmster.b-cdn.net/Filmster_Filme-V5/QR-Code/Filmster_010_QR_transparent.png?t=1774968049330.9595;4;2;true
